2023 MLB Salaries,,,,
Last,First,Pos'n,MLS,2023
Reyes, Franmil,dh-rf,4.115,"$2,000,000 "
Smith, Dominic,1b,4.081,"$2,000,000 "
Arroyo, Christian,2b,4.036,"$2,000,000 "
Mateo, Jorge,ss,3,"$2,000,000 "
Senzel, Nick,of-3b,3.15,"$1,950,000 "
Blackburn, Paul,rhp-s,3.018,"$1,900,000 "
Sampson, Adrian,rhp,2.117,"$1,900,000 "
Clase, Emmanuel,rhp-c,2.059,"$1,900,000 "
Alexander, Tyler,lhp,3.058,"$1,875,000 "
Bush, Matt,rhp,4.132,"$1,850,000 "
Hill, Tim,lhp,4.112,"$1,850,000 "
Voth, Austin,rhp,3.127,"$1,850,000 "
Hicks, Jordan,rhp-s,5,"$1,837,500 "
Castro, Willi,inf-of,3.017,"$1,800,000 "
Adam, Jason,rhp,2.132,"$1,775,000 "
Hunter, Tommy,rhp,12.156,"$1,750,000 "
Stephenson, Robert,rhp,5.049,"$1,750,000 "
Farmer, Buck,rhp,5.14,"$1,725,000 "
Munoz, Andres,rhp,3.08,"$1,687,500 "
May, Dustin,rhp-s,3.059,"$1,675,000 "
Rogers, Tyler,rhp,3.034,"$1,675,000 "
Gomber, Austin,lhp,3.111,"$1,650,000 "
Murphy, Tom,c,5.092,"$1,625,000 "
Carroll, Corbin,lf,0.038,"$1,625,000 "
Lewis, Kyle,of,2.146,"$1,610,000 "
Nido, Tomas,c,4.089,"$1,600,000 "
Hernandez, Elieser,rhp,4.051,"$1,600,000 "
Guillorme, Luis,inf,3.167,"$1,600,000 "
Gimenez, Andres,2b,2.106,"$1,571,429 "
Luetge, Lucas,lhp,4.015,"$1,550,000 "
Familia, Jeurys,rhp,10.008,"$1,500,000 "
SmithP, Will,lhp,9.155,"$1,500,000 "
Hand, Brad,lhp,9.092,"$1,500,000 "
Duffy, Matt,ss,7.059,"$1,500,000 "
Miller, Shelby,rhp-s,7.016,"$1,500,000 "
Vogelbach, Daniel,dh-1b,4.138,"$1,500,000 "
Richards, Trevor,rhp-s,4.084,"$1,500,000 "
Almonte, Yency,rhp,3.143,"$1,500,000 "
Rainey, Tanner,rhp,3.127,"$1,500,000 "
Rodriguez, Joely,lhp,3.096,"$1,500,000 "
Tate, Dillon,rhp,3.048,"$1,500,000 "
Karinchak, James,rhp,2.169,"$1,500,000 "
Higashioka, Kyle,c,4.005,"$1,462,500 "
Hearn, Taylor,lhp,3.125,"$1,462,500 "
Thompson, Trayce,of,3.01,"$1,450,000 "
Luplow, Jordan,of,4.108,"$1,400,000 "
Locastro, Tim,2b-of,3.122,"$1,400,000 "
Brosseau, Mike,3b,3.031,"$1,400,000 "
Dubon, Mauricio,2b,2.162,"$1,400,000 "
Beeks, Jalen,lhp,4.07,"$1,375,000 "
Wade Jr., LaMonte,1b,3.035,"$1,375,000 "
