,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
492,luplow,jordan,656669,luplj001,luplojo01,16424,2017.0,2023.0
493,locastro,tim,641796,locat001,locasti01,15124,2017.0,2023.0
494,brosseau,mike,670712,brosm001,brossmi01,19683,2019.0,2023.0
495,dubón,mauricio,643289,dubom001,dubonma01,16530,2019.0,2023.0
496,beeks,jalen,656222,beekj001,beeksja02,17192,2018.0,2023.0
497,wade,lamonte,664774,wadel001,wadela01,18126,2019.0,2023.0
498,ruiz,keibert,660688,ruizk001,ruizke01,19610,2020.0,2023.0
499,bethancourt,christian,542194,bethc001,bethach01,10028,2013.0,2023.0
500,stephan,trevor,663986,stept002,stephtr01,19932,2021.0,2023.0
501,alberto,hanser,593643,albeh001,alberha01,11902,2015.0,2023.0
502,smith,drew,622098,smitd009,smithdr01,17755,2018.0,2023.0
503,castro,harold,605612,casth001,castrha01,14691,2018.0,2023.0
504,tonkin,michael,543859,tonkm001,tonkimi01,10315,2013.0,2023.0
505,phillips,evan,623465,phile001,phillev01,17734,2018.0,2023.0
506,chirinos,yonny,630023,chiry001,chiriyo01,16401,2018.0,2023.0
507,martin,brett,656685,martb002,martibr01,17369,2019.0,2022.0
508,sims,lucas,608371,simsl001,simslu01,13470,2017.0,2023.0
509,lamb,jake,571875,lambj001,lambja01,13329,2014.0,2023.0
510,shreve,chasen,592741,shrec001,shrevch01,10855,2014.0,2023.0
511,gurriel,yuli,493329,gurry001,gourryu01,19198,2016.0,2023.0
512,jankowski,travis,608671,jankt001,jankotr01,13768,2015.0,2023.0
513,dahl,david,621311,dahld001,dahlda01,13744,2016.0,2023.0
514,gallagher,cam,595956,gallc001,gallaca01,12981,2017.0,2023.0
515,swanson,erik,657024,swane001,swanser01,16587,2019.0,2023.0
516,beaty,matt,607461,beatm001,beatyma01,17710,2019.0,2023.0
517,toro,abraham,647351,toroa001,toroab01,19844,2019.0,2023.0
518,whitlock,garrett,676477,whitg002,whitlga01,20191,2021.0,2023.0
519,mcguire,reese,624512,mcgur002,mcguire01,15674,2018.0,2023.0
520,graterol,brusdar,660813,gratb002,gratebr01,20367,2019.0,2023.0
521,madrigal,nick,663611,madrn001,madrini01,20521,2020.0,2023.0
